theSame,resumeId,rNum,leftEmployer,startDate,endDate,jobLength_old,employerName,employeesTotalNum,empAgeAtExit,yearFounded,gdSectorName,metro,jobTitle,avgSalary,ratingOverall,ratingCeo,ratingRecommendToFriend,ratingBusinessOutlook,ratingCareerOpportunities,ratingCompensationAndBenefits,ratingCultureAndValues,ratingWorkLifeBalance,ratingSeniorManagement,salaryIncrease,newMinusOldSalary,startDate_new,endDate_new,jobLength_new,employerName_new,employeesTotalNum_new,yearFounded_new,gdSectorName_new,metro_new,jobTitle_new,avgSalary_new,ratingOverall_new,ratingCeo_new,ratingRecommendToFriend_new,ratingBusinessOutlook_new,ratingCareerOpportunities_new,ratingCompensationAndBenefits_new,ratingCultureAndValues_new,ratingWorkLifeBalance_new,ratingSeniorManagement_new
0,2642425,1,1,2010-09-01,2013-08-01,35,"Infosys Ltd, Pune",176187,31,1982,Information Technology,San Jose,Senior Systems Engineer,119550.87222222223,3.25,0.62,0.74,0.39,3.2,2.7199999999999998,3.71,2.91,2.62,0,-14871.07273504269,2013-08-01,2013-12-01,4,Tata Consultancy Services,300464,1968,Information Technology,San Jose,Network Engineer,104679.79948717954,3.5,1.0,0.78,0.4,3.3,2.3,4.16,3.31,2.92
0,2655730,1,0,2013-09-01,2014-01-01,4,Clemson University,4735,125,1889,Education,Greenville,Research Assistant,19558.0,4.32,1.0,0.94,0.71,3.93,3.38,4.38,4.1,3.84,0,-4318.0,2014-01-01,2014-09-01,8,Clemson University,4735,1889,Education,Greenville,Team Member,15240.0,4.32,1.0,0.94,0.71,3.93,3.38,4.38,4.1,3.84
0,2659131,1,1,2012-01-01,2013-01-01,12,Applebee's,21247,,,"Restaurants, Bars & Food Services",Atlanta,Manager,85066.94015000029,2.87,0.99,0.25,0.31,2.25,1.8199999999999998,3.08,3.01,2.59,0,-22316.0734227277,2013-01-01,2014-01-01,12,Taco Bell,175000,1962,"Restaurants, Bars & Food Services",Atlanta,General Manager,62750.86672727259,4.34,1.0,0.71,0.52,3.2800000000000002,2.86,2.91,3.01,3.07
0,2667315,1,1,2012-04-01,2012-08-01,4,T-Mobile USA,50000,11,2001,Telecommunications,Chicago,Associate Store Manager,50012.56,3.52,0.69,0.61,0.84,3.36,3.85,4.88,3.74,3.34,0,-13044.068793103397,2012-08-01,2013-03-01,7,Wal-Mart,2200000,1962,Retail,Chicago,Assistant Store Manager,36968.4912068966,3.21,0.67,0.47,0.5,3.44,2.9699999999999998,3.93,2.94,2.84
0,2674063,1,1,2011-10-01,2012-01-01,3,ULTA BEAUTY,26500,22,1990,Retail,Chicago,Sales Associate,20429.501631944437,2.25,0.0,0.18,0.62,2.42,2.73,1.75,2.6,2.12,1,0.000000000029103830456733704,2012-10-01,2013-03-01,5,GAP INC,141000,1969,Retail,Chicago,Sales Associate,20429.501631944466,3.08,0.26,0.47,0.38,2.13,2.56,3.42,3.34,2.62
0,2675417,1,0,2013-06-01,2013-08-01,2,Target Pharmacy,341000,51,1962,Retail,Indianapolis,Pharmacy Technician,22800.0,3.42,0.75,0.53,0.62,2.82,3.5,3.62,3.09,2.4699999999999998,1,2780.0,2013-08-01,2014-07-01,11,Target Pharmacy,341000,1962,Retail,Indianapolis,Certified Pharmacy Technician,25580.0,3.42,0.75,0.53,0.62,2.82,3.5,3.62,3.09,2.4699999999999998
0,2685142,1,0,2013-02-01,2013-07-01,5,Victoria's Secret,3700,36,1977,Retail,Houston,Category Manager,114288.97750000001,3.08,0.89,0.75,0.52,3.45,2.68,4.16,2.1,3.0,0,-18923.075192307704,2013-07-01,2014-09-01,14,Victoria's Secret,3700,1977,Retail,Houston,Product Manager,95365.9023076923,3.08,0.89,0.75,0.52,3.45,2.68,4.16,2.1,3.0
0,2687337,1,0,2013-05-01,2013-08-01,3,Enterprise Rent-A-Car,10000,56,1957,Travel & Tourism,Atlanta,Intern,34996.70772151898,2.74,0.63,0.6,0.12,3.08,2.64,3.12,2.0,2.75,0,-9538.573701911155,2013-05-01,2014-08-01,15,Enterprise Rent-A-Car,10000,1957,Travel & Tourism,Atlanta,Customer Service Representative,25458.134019607824,2.74,0.63,0.6,0.12,3.08,2.64,3.12,2.0,2.75
0,2693329,1,1,2013-05-01,2013-11-01,6,The Bozzuto Group,1006,25,1988,Real Estate,Washington DC,Consultant,80834.80288690534,4.11,1.0,0.88,0.92,4.27,3.7800000000000002,3.9699999999999998,3.81,3.98,0,-5730.1550564813515,2014-05-01,2014-08-01,3,Society of Human Resource Management,450,1949,Business Services,Washington DC,Consultant,75104.64783042399,2.71,0.46,0.38,0.02,2.02,3.58,2.85,3.71,2.38
0,2699561,1,1,2011-07-01,2013-05-01,22,Infosys Limited,176187,31,1982,Information Technology,Dallas,Systems Engineer,80217.91272727257,3.16,0.43,0.58,0.26,3.15,2.84,3.68,2.69,2.67,0,-57112.273977272576,2013-09-01,2014-04-01,7,University of Texas at Dallas,1500,1969,Education,Dallas,Teaching Assistant,23105.638749999995,4.3,0.98,0.86,0.72,3.82,3.57,4.25,3.95,3.98
0,2703859,1,1,2012-01-01,2012-03-01,2,BASF,15000,147,1865,Manufacturing,New York City,Consultant,92137.07984782716,2.22,1.0,0.28,1.0,2.81,3.01,4.0,2.26,1.9,0,-2531.9536244222836,2013-06-01,2013-09-01,3,JP Morgan Chase,241359,1799,Finance,New York City,Consultant,89605.12622340488,3.26,0.84,0.66,0.42,3.09,3.15,3.18,3.21,3.04
0,2703859,2,1,2013-06-01,2013-09-01,3,JP Morgan Chase,241359,214,1799,Finance,New York City,Consultant,89605.12622340265,3.26,0.84,0.66,0.42,3.09,3.15,3.18,3.21,3.04,1,0.0000000022264430299401283,2013-12-01,2014-04-01,4,Quest Diagnostics,45000,,Health Care,New York City,Consultant,89605.12622340488,2.68,0.77,0.48,0.07,2.13,2.86,2.69,3.26,2.29
0,2703859,3,1,2013-12-01,2014-04-01,4,Quest Diagnostics,45000,,,Health Care,New York City,Consultant,88397.26702020217,2.5300000000000002,0.16,0.28,0.08,2.21,2.89,2.2,2.55,1.8199999999999998,0,-0.00000000013096723705530167,2014-04-01,2014-09-01,5,Hess Corporation,2770,,"Oil, Gas, Energy & Utilities",New York City,Consultant,88397.26702020204,3.29,0.39,0.65,0.28,3.2800000000000002,3.41,3.68,3.37,3.13
0,2708237,1,0,2012-08-01,2014-01-01,17,George Washington University,5000,193,1821,Education,Washington DC,Graduate Teaching Assistant,24155.99157894737,3.88,0.81,0.82,0.53,3.41,3.26,3.64,3.7,3.24,1,2104.199190283387,2012-08-01,2014-08-01,24,George Washington University,5000,1821,Education,Washington DC,Graduate Research Assistant,26260.190769230758,3.59,0.89,0.77,0.73,3.58,3.44,4.05,3.87,2.95
0,2711598,1,1,2012-10-01,2013-05-01,7,State Street Bank and Trust Corp,32356,221,1792,Finance,Boston,Intern,38614.16078212292,2.68,0.48,0.43,0.2,2.62,2.57,2.64,3.25,2.58,0,-23145.56078212292,2013-04-01,2013-06-01,2,University of Massachusetts,13196,1863,Education,Boston,Resident Assistant,15468.6,4.27,1.0,0.96,0.79,3.52,3.4699999999999998,4.28,4.17,3.84
0,2711598,2,1,2013-04-01,2013-06-01,2,University of Massachusetts,13196,150,1863,Education,Boston,Resident Assistant,15468.6,4.27,1.0,0.96,0.79,3.52,3.4699999999999998,4.28,4.17,3.84,1,23145.560782122906,2013-06-01,2013-08-01,2,PricewaterhouseCoopers,38935,1898,Accounting & Legal,Boston,Intern,38614.160782122904,3.66,0.88,0.88,0.81,4.25,3.76,3.84,2.7800000000000002,3.7
0,2711949,1,1,2013-04-01,2013-07-01,3,Cameron International,28000,91,1922,"Oil, Gas, Energy & Utilities",Houston,Senior Business Analyst,91612.78333333337,3.91,0.93,0.86,0.79,3.69,3.79,3.76,3.54,3.4699999999999998,1,155.92254901956767,2014-05-01,2014-06-01,1,Weatherford Oil and Gas,13980,1987,"Oil, Gas, Energy & Utilities",Houston,Senior Business Analyst,91768.70588235294,3.04,0.71,0.51,0.43,3.09,3.4,2.86,2.96,2.52
0,2716413,2,1,2012-10-01,2013-04-01,6,Centers for Disease Control and Prevention,8000,67,1946,Government,Atlanta,Research Assistant,27635.351304347827,3.62,0.85,0.77,0.28,3.21,3.38,3.63,4.04,3.15,1,7361.356417171173,2013-02-01,2013-05-01,3,Emory Healthcare,16000,1994,Health Care,Atlanta,Intern,34996.707721519,3.37,0.79,0.62,0.36,3.36,3.56,3.41,3.68,3.03
0,2716413,3,1,2013-02-01,2013-05-01,3,Emory Healthcare,16000,19,1994,Health Care,Atlanta,Intern,34996.70772151898,3.37,0.79,0.62,0.36,3.36,3.56,3.41,3.68,3.03,1,0.000000000021827872842550278,2013-05-01,2014-06-01,13,Xerox Corporation,147500,1906,Information Technology,Atlanta,Intern,34996.707721519,2.55,0.44,0.32,0.2,2.2,2.7,2.85,3.01,2.38
0,2723031,1,0,2011-09-01,2012-12-01,15,Texas Tech University,6635,89,1923,Education,Lubbock,Graduate Assistant,28695.583999999995,4.13,0.97,0.91,0.63,3.66,3.58,4.61,4.05,4.01,0,-4921.1839999999975,2014-01-01,2014-07-01,6,Texas Tech University,6635,1923,Education,Lubbock,Teaching Assistant,23774.399999999998,4.07,0.98,0.91,0.65,3.44,3.33,4.01,4.08,3.63
0,2724342,1,0,2012-07-01,2013-08-01,13,HUBSPOT,1157,7,2006,Information Technology,Boston,Business Development Representative,39703.32125,4.29,0.93,0.87,0.82,4.25,3.7199999999999998,4.43,3.45,4.16,1,16051.780654762086,2013-09-01,2014-05-01,8,HUBSPOT,1157,2006,Information Technology,Boston,Account Executive,55755.10190476209,4.29,0.93,0.87,0.82,4.25,3.7199999999999998,4.43,3.45,4.16
0,2728003,1,0,2012-02-01,2013-06-01,16,The Home Depot,371000,35,1978,Retail,Atlanta,Cashier,17438.41684210526,3.32,0.88,0.67,0.6,3.36,3.4,3.63,2.92,2.94,1,2660.9411703170917,2013-06-01,2014-01-01,7,The Home Depot,371000,1978,Retail,Atlanta,Sales Associate,20099.35801242235,3.32,0.88,0.67,0.6,3.36,3.4,3.63,2.92,2.94
0,2733613,1,1,2012-01-01,2013-01-01,12,Coca-Cola,129200,127,1886,Manufacturing,Atlanta,Merchandiser,21002.222222222223,3.27,0.84,0.68,0.39,3.13,3.56,3.45,3.13,2.9,0,-3563.8053801169626,2013-01-01,2014-01-01,12,Dicks Sporting Goods,37600,1948,Retail,Atlanta,Cashier,17438.41684210526,2.29,0.49,0.74,0.57,2.4699999999999998,2.6,2.91,2.26,2.22
0,2734371,1,0,2010-08-01,2013-06-01,34,Apple Inc,110000,37,1976,Information Technology,Dallas,Specialist,51264.759999999995,4.19,0.93,0.93,0.88,3.81,4.18,4.58,4.15,4.11,0,-10980.599999999991,2013-06-01,2014-09-01,15,Apple Inc,110000,1976,Information Technology,Dallas,Business Specialist,40284.16,4.19,0.93,0.93,0.88,3.81,4.18,4.58,4.15,4.11
0,2736803,1,1,2010-08-01,2012-04-01,20,Morgan Stanley,56218,77,1935,Finance,New York City,Manager,103040.18853185652,3.29,0.64,0.67,0.3,3.26,3.26,3.55,3.66,3.21,1,0.0000000002764863893389702,2012-07-01,2013-09-01,14,Barclays,10001,1690,Finance,New York City,Manager,103040.1885318568,2.64,0.96,0.41,0.14,2.66,2.99,2.88,3.12,2.59
0,2737691,1,0,2012-10-01,2012-12-01,2,Sogeti,10000,45,1967,Information Technology,Cincinnati,Project Manager,85235.15352112695,3.5,1.0,0.64,0.38,3.7,3.59,3.56,3.7199999999999998,3.39,0,-22045.361096884597,2013-01-01,2013-10-01,9,Sogeti,10000,1967,Information Technology,Cincinnati,Business Analyst,63189.792424242354,2.9699999999999998,1.0,0.49,0.37,3.04,3.19,2.98,3.2800000000000002,2.74
0,2737691,2,1,2013-01-01,2013-10-01,9,Sogeti,10000,46,1967,Information Technology,Cincinnati,Business Analyst,63189.792424242376,2.9699999999999998,1.0,0.49,0.37,3.04,3.19,2.98,3.2800000000000002,2.74,0,-0.000000000021827872842550278,2013-01-01,2013-10-01,9,UC Health,10000,,Health Care,Cincinnati,Business Analyst,63189.792424242354,3.35,1.0,0.74,0.5,3.21,3.14,3.23,3.32,2.83
0,2743936,1,1,2013-02-01,2013-04-01,2,JP Morgan,241359,214,1799,Finance,Seattle,Intern,44102.32549019608,3.34,0.83,0.82,0.95,3.24,3.06,3.6,3.09,3.36,0,-20623.420035650634,2013-04-01,2013-06-01,2,University of Washington,27228,1861,Education,Seattle,Teaching Assistant,23478.90545454545,3.65,0.84,0.79,0.28,3.25,3.22,3.66,3.65,3.21
0,2744348,1,1,2012-01-01,2013-02-01,13,KENEXA CORPORATION,2744,26,1987,Information Technology,Boston,Product Owner,118592.6,3.09,0.48,0.61,0.85,2.93,2.34,3.84,3.61,2.42,0,0.0,2013-04-01,2014-01-01,9,HARVARD BUSINESS PUBLISHING,390,1994,Media,Boston,Product Owner,118592.6,2.96,0.18,0.61,0.19,2.56,3.8,3.16,3.41,2.48
0,2767684,1,0,2012-02-01,2012-04-01,2,Northeastern University,4175,114,1898,Education,Boston,Laboratory Assistant,24333.333333333332,3.49,0.75,0.82,0.45,3.41,3.43,3.5300000000000002,3.55,3.4,1,3574.9412121211935,2013-09-01,2014-01-01,4,Northeastern University,4175,1898,Education,Boston,Teaching Assistant,27908.274545454526,3.77,0.85,0.9,0.66,3.45,3.37,3.74,3.7800000000000002,3.46
0,2769023,1,1,2013-09-01,2014-02-01,5,Home Depot,371000,36,1978,Retail,New York City,Sales Associate,22920.060443213304,3.22,0.78,0.66,0.55,3.04,3.12,3.48,3.14,2.92,1,7062.466749769148,2014-03-01,2014-07-01,4,Dial America,5000,1957,Business Services,New York City,Customer Service Representative,29982.527192982452,2.8,0.7,0.45,0.45,2.96,1.9100000000000001,1.97,2.64,2.04
0,2771442,1,0,2011-09-01,2012-01-01,4,HEB,80000,107,1905,Retail,Houston,Bookkeeper,28836.995000000003,3.52,0.89,0.81,0.51,3.05,3.29,4.36,3.39,3.22,0,-21.75,2012-01-01,2012-06-01,5,HEB,80000,1905,Retail,Houston,Assistant Service Manager,28815.245000000003,3.52,0.89,0.81,0.51,3.05,3.29,4.36,3.39,3.22
0,2777642,1,0,2013-04-01,2014-04-01,12,Drexel University,2868,123,1891,Education,Philadelphia,Tutor,32454.285714285714,3.94,0.89,0.86,0.68,3.55,3.29,3.95,3.71,3.49,1,66253.60095238095,2013-04-01,2014-09-01,17,Drexel University,2868,1891,Education,Philadelphia,Associate Professor,98707.88666666666,3.75,0.93,0.82,0.62,3.46,3.33,3.94,3.6,3.61
0,2777889,1,1,2013-01-01,2014-06-01,17,BROWN BROTHERS HARRIMAN & CO,3000,196,1818,Finance,Boston,Client Account Manager,42248.666666666664,2.63,0.59,0.46,0.21,2.6,2.61,2.8,3.2800000000000002,2.63,1,19246.9005464481,2014-07-01,2014-10-01,3,EZE SOFTWARE GROUP,750,1995,Information Technology,Boston,Analyst,61495.567213114766,3.32,0.39,0.64,0.56,3.36,3.71,3.87,3.06,3.4699999999999998
0,2778710,1,1,2012-01-01,2013-01-01,12,Oracle,132000,36,1977,Information Technology,San Francisco,Designer,68926.6268292683,3.09,0.75,0.58,0.51,2.93,2.91,2.7800000000000002,3.5,2.84,1,0.000000000043655745685100555,2013-01-01,2014-01-01,12,Intuit,8000,1983,Information Technology,San Francisco,Designer,68926.62682926834,3.76,0.97,0.75,0.52,3.27,3.88,4.13,4.26,3.36
0,2784255,1,0,2011-09-01,2012-12-01,15,Wal-Mart,2200000,50,1962,Retail,Phoenix,Cashier,17896.5,2.33,0.18,0.26,0.31,2.5,2.87,1.6600000000000001,2.61,2.23,1,663.5,2013-03-01,2013-10-01,7,Wal-Mart,2200000,1962,Retail,Phoenix,Overnight Stocker,18560.0,2.44,0.31,0.29,0.28,2.73,2.52,2.42,2.65,2.2800000000000002
0,2789324,1,1,2011-08-01,2012-09-01,13,Best Buy,140000,46,1966,Retail,Phoenix,Cashier,17896.5,2.86,0.17,0.4,0.19,2.32,2.7199999999999998,2.9,2.76,2.27,1,21560.56500000003,2013-02-01,2013-09-01,7,Sprint,36000,,Telecommunications,Phoenix,Sales Representative,39457.06500000003,3.4699999999999998,0.87,0.68,0.55,3.41,3.54,3.25,3.37,3.04
0,2794224,1,1,2011-05-01,2012-06-01,13,"Best Buy, Inc",140000,46,1966,Retail,San Francisco,Sales Associate,23832.348432432464,4.32,1.0,0.46,0.58,3.68,3.5300000000000002,3.49,3.61,3.46,1,3139.08356756753,2012-06-01,2012-12-01,6,JP Morgan Chase Bank,241359,1799,Finance,San Francisco,Bank Teller,26971.431999999993,3.14,0.99,0.79,0.83,3.01,3.63,4.82,3.7,2.95
0,2795118,1,1,2011-09-01,2012-11-01,14,Target,341000,50,1962,Retail,Chicago,Business Analyst,72412.95726726712,3.37,0.74,0.58,0.55,3.45,3.23,4.19,3.06,3.22,0,-5730.241606889744,2014-02-01,2014-03-01,1,J.P. Morgan Chase,241359,1799,Finance,Chicago,Business Analyst,66682.71566037738,3.34,0.78,0.66,0.48,3.2,3.22,3.31,3.12,3.02
0,2798871,1,1,2013-01-01,2014-01-01,12,Ericsson,10000,138,1876,Telecommunications,Dallas,Contractor,42570.4,3.54,0.86,0.79,0.48,3.29,3.77,3.74,3.55,3.15,0,-14130.400000000001,2014-01-01,2014-08-01,7,Texas Instruments Incorporated,31003,1930,Manufacturing,Dallas,Test Technician,28440.0,3.76,0.7,0.77,0.35,3.4699999999999998,3.73,3.76,3.68,3.05
0,2802566,1,0,2013-05-01,2014-06-01,13,GWU,5000,193,1821,Education,Washington DC,Research Assistant,39962.93043165475,3.88,0.81,0.82,0.53,3.41,3.26,3.64,3.7,3.24,0,-6464.306542765837,2013-09-01,2013-11-01,2,GWU,5000,1821,Education,Washington DC,Project Assistant,33498.62388888891,3.55,0.74,0.76,0.54,3.35,3.31,3.35,3.59,2.88
0,2805081,1,1,2013-05-01,2013-09-01,4,Boston University,10400,174,1839,Education,Boston,Research Engineer,87827.27333333333,3.86,0.9,0.93,0.56,3.44,3.5300000000000002,3.74,4.01,3.54,0,-23325.71098039215,2013-10-01,2014-10-01,12,"Axcelis Technologies, Inc",778,1995,Manufacturing,Boston,Electrical Engineer,64501.56235294118,2.84,0.09,0.22,0.2,2.4699999999999998,2.7199999999999998,4.0,3.67,1.8199999999999998
0,2806166,1,1,2012-09-01,2014-02-01,17,Oracle Corporation,132000,37,1977,Information Technology,Boston,Outside Sales Representative,50800.0,3.39,0.77,0.67,0.38,3.5300000000000002,3.34,3.31,3.7,3.11,1,25861.818181818177,2014-02-01,2014-04-01,2,Unitrends,250,1989,Information Technology,Boston,Territory Manager,76661.81818181818,3.5,0.6,0.6,0.59,3.4,3.34,3.35,3.04,3.17
0,2810570,1,0,2011-07-01,2013-02-01,19,Verizon Wireless,9100,13,2000,Information Technology,Minneapolis,Sales Representative,41329.88607142856,3.09,0.67,0.65,0.72,2.7800000000000002,3.81,3.21,2.92,2.8,1,12670.51392857144,2013-02-01,2013-08-01,6,Verizon Wireless,9100,2000,Information Technology,Minneapolis,Senior Sales Representative,54000.4,3.09,0.67,0.65,0.72,2.7800000000000002,3.81,3.21,2.92,2.8
0,2813404,1,0,2012-01-01,2014-05-01,28,Sleepy Giant,58,,,"Arts, Entertainment & Recreation",Los Angeles,Quality Assurance Analyst,57640.96857142857,2.31,0.47,0.39,0.44,2.52,2.11,3.13,2.94,2.43,1,6367.031428571427,2014-05-01,2014-09-01,4,Sleepy Giant,58,,"Arts, Entertainment & Recreation",Los Angeles,Senior QA Analyst,64008.0,2.31,0.47,0.39,0.44,2.52,2.11,3.13,2.94,2.43
0,2829099,1,1,2012-10-01,2013-02-01,4,UPS,444000,106,1907,Transportation & Logistics,New York City,Driver Helper,20280.0,3.14,0.6,0.54,0.32,2.92,3.69,2.96,2.81,2.68,1,2257.4723529411676,2013-06-01,2013-08-01,2,Home Depot,371000,1978,Retail,New York City,Sales Associate,22537.472352941168,3.03,0.71,0.63,0.53,2.9699999999999998,2.84,3.31,2.9699999999999998,2.6
0,2841245,1,1,2010-01-01,2014-01-01,48,Gap Inc,141000,45,1969,Retail,Atlanta,Manager,82550.5782959641,3.86,1.0,0.82,0.7,3.4,2.84,4.55,3.95,3.59,0,-6859.915138069351,2014-01-01,2014-10-01,9,American Eagle Outfitters,37800,1977,Retail,Atlanta,District Manager,75690.66315789474,3.58,0.97,0.72,0.34,3.01,3.04,3.56,3.95,2.96
0,2843003,1,1,2011-01-01,2013-01-01,24,Sprint,36000,,,Telecommunications,Atlanta,Small Business Account Executive,35700.0,3.39,1.0,0.74,0.37,2.8,3.18,3.16,3.79,2.95,0,-11601.552000000003,2013-02-01,2014-07-01,17,AT&T,281450,1876,Telecommunications,Atlanta,Retail Sales Consultant,24098.447999999997,3.15,0.62,0.58,0.52,3.2,3.59,2.9699999999999998,3.16,2.7199999999999998
0,2845870,1,1,2010-08-01,2012-06-01,22,Target,341000,50,1962,Retail,Los Angeles,Team Member,22067.58033333333,3.27,0.79,0.6,0.48,3.06,3.07,3.41,3.2,2.92,1,572.4196666666685,2012-09-01,2012-12-01,3,Macy's,166900,1858,Retail,Los Angeles,Merchandising Associate,22640.0,2.7199999999999998,0.43,0.39,0.35,2.85,2.68,2.74,2.89,2.67
0,2849203,1,1,2013-11-01,2014-05-01,6,Bank of America,224000,110,1904,Finance,Baltimore,Teller,25852.8,2.79,0.2,0.45,0.15,2.96,3.52,3.18,2.92,2.5300000000000002,0,0.0,2014-07-01,2014-10-01,3,M&T Bank,17476,1856,Finance,Baltimore,Teller,25852.8,2.81,0.86,0.36,0.46,2.51,2.95,3.33,3.33,2.66
0,2850212,1,0,2011-07-01,2013-06-01,23,UNITED STATES AIR FORCE,529688,66,1947,Government,Los Angeles,Program Manager,99309.26897959172,3.54,1.0,0.64,0.16,3.57,3.63,3.85,3.63,2.94,0,-8003.129458824915,2013-06-01,2014-05-01,11,UNITED STATES AIR FORCE,529688,1947,Government,Los Angeles,Project Manager,91306.13952076681,3.54,1.0,0.64,0.16,3.57,3.63,3.85,3.63,2.94
0,2850964,1,1,2012-02-01,2013-05-01,15,"Coach, Inc",15800,72,1941,Retail,New York City,Senior Manager,138410.9235714291,3.32,0.89,0.67,0.38,3.1,3.66,3.68,3.09,3.15,1,13165.81932524941,2013-05-01,2014-05-01,12,"Gap, Inc",141000,1969,Retail,New York City,Director,151576.7428966785,3.49,0.9,0.77,0.31,3.15,3.35,3.54,3.38,3.07
